Date,N02,N03,N04,N06,N07,L01,L02,L03,L04,L05
20180801,3.1,0.0,0.0,0.0,0.0,21.7,4.1,0.0,42.9,16.7
20180802,1.7,0.0,0.0,1.3,0.0,6.9,8.0,10.0,0.0,16.7
20180803,1.5,0.0,0.0,1.3,0.0,2.9,9.8,0.0,0.0,10.0
20180804,0.0,10.0,0.0,5.1,0.0,9.1,9.8,0.0,0.0,0.0
20180805,4.0,0.0,0.0,0.0,0.0,9.5,6.5,0.0,0.0,27.3
20180806,1.7,3.1,0.0,1.4,0.0,4.2,10.9,0.0,5.9,20.0
20180807,0.0,0.0,0.0,0.9,0.0,4.0,12.1,0.0,0.0,1.1
20180808,0.0,0.0,0.0,0.0,0.0,17.4,10.0,5.4,10.0,36.0
20180809,1.4,11.5,0.0,4.6,0.0,40.0,41.5,22.6,0.0,61.5
20180810,14.8,4.2,0.0,5.7,0.0,63.3,50.0,11.9,27.3,76.5
20180811,13.0,4.8,4.0,6.3,0.0,31.8,35.7,10.5,53.3,58.3
20180812,50.0,0.0,10.7,25.7,0.0,44.4,22.0,7.7,50.0,35.7
20180813,4.1,9.5,4.8,2.9,0.0,28.0,14.3,10.8,10.0,35.3
20180814,0.0,0.0,3.0,2.7,0.0,34.5,29.3,9.1,0.0,63.6
20180815,26.5,4.0,2.9,4.4,0.0,41.7,34.6,39.5,0.0,68.5
20180816,26.8,11.4,21.7,4.4,1.7,52.2,27.7,56.3,0.0,78.8
20180817,68.2,8.1,0.0,24.4,7.1,66.7,26.8,67.3,33.3,91.9
20180818,75.4,37.5,36.4,32.1,18.8,41.7,37.0,67.4,27.3,83.3
20180819,77.6,0.0,17.4,20.5,0.0,37.0,45.2,41.3,50.0,100.0
20180820,38.9,12.2,5.9,14.3,6.5,48.0,18.6,45.0,30.0,76.2
20180821,35.6,12.9,1.8,9.3,1.7,70.0,33.3,23.3,75.0,85.2
20180822,26.6,17.6,0.0,6.3,8.3,53.8,24.2,21.4,0.0,71.4
20180823,12.3,3.0,1.9,9.1,12.1,44.8,28.9,35.9,8.3,78.6
20180824,24.1,0.0,10.7,8.5,0.0,35.3,16.1,17.2,33.3,71.0
20180825,5.6,10.0,0.0,12.1,0.0,32.0,33.3,24.1,22.2,90.9
20180826,6.3,0.0,2.9,2.9,0.0,51.9,27.3,50.0,11.1,75.0
20180827,2.7,0.0,0.0,10.5,0.0,42.4,32.3,17.6,20.0,45.5
20180828,0.0,0.0,0.0,2.9,1.5,48.4,16.3,13.3,35.0,68.8
20180829,1.5,4.3,4.0,6.2,0.0,31.4,20.5,6.7,20.0,44.4
20180830,4.7,0.0,0.0,0.0,3.8,33.3,11.6,20.0,23.8,47.6
20180831,1.3,0.0,0.0,1.2,0.0,30.4,7.3,5.4,11.1,75.0
20180901,0.0,0.0,0.0,0.0,0.0,16.7,9.1,4.0,33.3,70.0
20180902,0.0,7.1,0.0,0.0,0.0,22.2,7.5,6.1,0.0,37.5
20180903,2.8,4.3,6.3,10.6,2.7,5.6,6.7,5.1,25.0,38.1
20180904,7.4,3.8,8.0,3.7,0.0,11.1,2.4,15.9,8.3,38.5
20180905,23.8,5.6,0.0,0.0,0.0,8.7,9.8,9.5,22.2,0.0
20180906,1.1,0.0,0.0,1.3,0.0,25.0,6.1,4.2,0.0,9.1
20180907,0.0,0.0,0.0,5.0,0.0,4.0,17.6,6.7,14.3,13.3
20180908,2.5,0.0,0.0,0.0,6.7,14.3,11.8,3.4,16.7,0.0
20180909,0.0,3.2,0.0,5.7,0.0,12.5,11.8,4.5,0.0,10.0
20180910,1.0,0.0,3.6,0.0,0.0,25.8,8.0,0.0,0.0,12.0
20180911,1.1,0.0,0.0,0.0,0.0,9.1,12.1,6.5,0.0,6.7
20180912,2.3,3.8,0.0,2.4,0.0,9.8,11.8,0.0,0.0,7.7
20180913,0.0,0.0,0.0,1.1,0.0,17.5,5.9,4.4,13.3,16.7